dataset,horizon,model,corruption,corruption_seed,mse,mae,rmse,clean_mse,relative_degradation_pct
ETTh1,336,PatchTST-M_s2026,spikes_0.02,43,0.1768791824579239,0.32448917627334595,0.4205700755119324,0.08508244901895523,107.891503473904
ETTh1,336,PatchTST-M_s2027,spikes_0.02,43,0.1560254544019699,0.3029044568538666,0.3950005769729614,0.08603134006261826,81.35885630562787
ETTh1,336,PatchTST-M_s2028,spikes_0.02,43,0.1493627279996872,0.2955341935157776,0.38647475838661194,0.08415810763835907,77.47871499383383
ETTh1,720,Last,clean,0,0.1291794776916504,0.28340864181518555,0.3594154715538025,0.1291794776916504,0.0
ETTh1,720,ARRidge,clean,0,0.15445524568591404,0.3203585822064791,0.39300794608495393,0.15445524568591404,0.0
ETTh1,720,PatchTST-M_s2026,clean,0,0.09192296862602234,0.23812754452228546,0.3031879961490631,0.09192296862602234,0.0
ETTh1,720,PatchTST-M_s2027,clean,0,0.09038527309894562,0.23648026585578918,0.3006414473056793,0.09038527309894562,0.0
ETTh1,720,PatchTST-M_s2028,clean,0,0.08919665217399597,0.2343767136335373,0.2986580729484558,0.08919665217399597,0.0
ETTh1,720,Last,gaussian_0.10,31,0.14126016199588776,0.29697394371032715,0.37584593892097473,0.1291794776916504,9.35186031102695
ETTh1,720,ARRidge,gaussian_0.10,31,0.15506550018206963,0.32116595490752187,0.3937835702287103,0.15445524568591404,0.3951011786265557
ETTh1,720,PatchTST-M_s2026,gaussian_0.10,31,0.0942908376455307,0.2419460266828537,0.3070681393146515,0.09192296862602234,2.57592749113853
ETTh1,720,PatchTST-M_s2027,gaussian_0.10,31,0.09433349967002869,0.24209454655647278,0.3071375787258148,0.09038527309894562,4.3682188875624695
ETTh1,720,PatchTST-M_s2028,gaussian_0.10,31,0.09243254363536835,0.23923097550868988,0.3040271997451782,0.08919665217399597,3.627817168586245
ETTh1,720,Last,gaussian_0.10,37,0.13842642307281494,0.29451239109039307,0.3720570206642151,0.1291794776916504,7.158215489334063
ETTh1,720,ARRidge,gaussian_0.10,37,0.15466473700878178,0.3206413571499678,0.3932743787850688,0.15445524568591404,0.1356323781283253
ETTh1,720,PatchTST-M_s2026,gaussian_0.10,37,0.0938095897436142,0.24138610064983368,0.30628350377082825,0.09192296862602234,2.052393591929502
ETTh1,720,PatchTST-M_s2027,gaussian_0.10,37,0.09364762902259827,0.24138930439949036,0.30601900815963745,0.09038527309894562,3.609388799524149
