domain,horizon,model,mse_mean,mae_mean,rmse_mean,mse_std,mae_std,rmse_std,mse_rank,best_simple_mse,improvement_vs_best_simple_pct
Traffic,3,DLinear-U,0.0810220489899317,0.130005473891894,0.2846229175726573,0.0023895731270131,0.0043015487801578,0.0042157360821172,2.0,0.1228748734301375,34.06133676630145
Traffic,3,ARRidge,0.0909862937988382,0.1295033164705292,0.3016393439172653,0.0,0.0,0.0,4.0,0.1228748734301375,25.952075262506842
Traffic,3,SeasonalNaive,0.1228748734301375,0.1866858060581701,0.3505351243886089,0.0,0.0,0.0,5.0,0.1228748734301375,0.0
Traffic,3,Last,0.2037642210505277,0.3419205730843267,0.4514025044796802,0.0,0.0,0.0,6.0,0.1228748734301375,-65.8306660770488
Traffic,6,DLinear-M,0.0922553613781929,0.1451784670352935,0.3037147223949432,0.0026435216593238,0.0012222963788919,0.0043689289662203,1.0,0.1256750700822705,26.592154420284068
Traffic,6,DLinear-U,0.0922553613781929,0.1451784670352935,0.3037147223949432,0.0026435216593238,0.0012222963788919,0.0043689289662203,1.0,0.1256750700822705,26.592154420284068
Traffic,6,PatchTST,0.0943293472131093,0.1442428827285766,0.307130624850591,0.000269982861518,0.0023340810047434,0.0004396073714471,3.0,0.1256750700822705,24.94187816934686
Traffic,6,ARRidge,0.1023922280261883,0.1451434346629982,0.3199878560604892,0.0,0.0,0.0,4.0,0.1256750700822705,18.52622166101883
Traffic,6,SeasonalNaive,0.1256750700822705,0.1895769344415226,0.3545067983583256,0.0,0.0,0.0,5.0,0.1256750700822705,0.0
Traffic,6,Last,0.3012097527220414,0.4244707073540324,0.5488257945122855,0.0,0.0,0.0,6.0,0.1256750700822705,-139.6734312738882
Traffic,12,DLinear-M,0.1029484346508979,0.1637560625871022,0.3208471635977427,0.001850515348124,0.0007310466697729,0.0028812466546626,1.0,0.1315895688232499,21.765504992893895
Traffic,12,DLinear-U,0.1029484346508979,0.1637560625871022,0.3208471635977427,0.001850515348124,0.0007310466697729,0.0028812466546626,1.0,0.1315895688232499,21.765504992893895
Traffic,12,PatchTST,0.1123051022489865,0.1737043211857477,0.3351178169250488,0.0008808372258835,0.0022859633541396,0.0013138021283004,3.0,0.1315895688232499,14.655011599107942
Traffic,12,ARRidge,0.1175147083816875,0.1676420463632923,0.3428041837283896,0.0,0.0,0.0,4.0,0.1315895688232499,10.696030519309362
Traffic,12,SeasonalNaive,0.1315895688232499,0.1952861786311187,0.3627527654246758,0.0,0.0,0.0,5.0,0.1315895688232499,0.0
Traffic,12,Last,0.2923456160994847,0.4074789508525904,0.5406899445148621,0.0,0.0,0.0,6.0,0.1315895688232499,-122.16473441915527
